"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"03/13/2015","11:04:50","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","0","0","","2465","0","0","0","1","0","0","0","0","1","99999","0","","","","0","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2465","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","-2","0","0","","","0","0","0","1","","45","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","1","40","","0","2","0","5374",
"03/13/2015","11:04:59","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","7554","56","","49499","3094100","7","13","66","58","3","3","0","2","0","3696","","","","11193","","","","","0","","","2","0","7554","","","1","74","94","-1","100","-1","100","-1","-1","100","9129","964951","2","5","42","40","0","2","0","0","100","","","-1","","","","56","200","670529","0","","","95139","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","2393","7467","8221","3431","3668","9797","Google Chrome","41.0.2272.89","1","30","Google","0","2","0","5374",
"03/13/2015","11:05:19","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","2729","681","","23927","13104","2","4","22","13","4","2","0","4","99999","880","","","","3733","","","","","0","","","2","0","2729","","","1","5","0","-1","100","-1","100","-1","-1","100","10697","3683","2","2","8","4","1","2","0","0","-1","","","-1","","","","681","200","2977","0","","","0","0","0","1","","894","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","277","2636","3120","816","955","3581","Google Chrome","41.0.2272.89","8","39","","0","2","0","5374",
"03/13/2015","11:05:31","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","1508","685","","20153","10967","4","2","20","12","2","2","0","4","0","881","","","","3654","","","","","0","","","2","0","1508","","","1","0","0","-1","100","-1","100","-1","-1","100","3823","2406","1","1","4","4","0","0","0","0","-1","","","-1","","","","685","200","2783","0","","","0","0","0","1","","1249","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","278","1245","1613","1118","1244","4181","Google Chrome","41.0.2272.89","12","39","","0","2","0","5374",
"03/13/2015","11:05:42","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","4432","1035","","25076","239810","4","2","24","11","3","2","0","10","0","1184","","","","5054","","","","","0","","","2","0","4432","","","1","42","0","-1","100","-1","100","-1","-1","100","12604","6077","3","2","15","9","2","2","0","0","-1","","","-1","","","","1035","200","3474","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","481","2681","3630","1087","1268","4188","Google Chrome","41.0.2272.89","12","39","","0","2","0","5374",
"03/13/2015","11:05:55","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","3421","941","","23707","29578","0","5","23","16","3","2","0","2","0","960","","","","6248","","","","","0","","","2","0","3421","","","1","0","50","-1","100","-1","100","-1","-1","100","6846","3326","0","1","7","4","1","2","0","0","-1","","","-1","","","","941","200","13126","0","","","0","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","257","3216","3881","996","1176","4460","Google Chrome","41.0.2272.89","12","39","","0","2","0","5374",
"03/13/2015","11:13:05","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","11048","566","","54562","2638704","29","45","96","85","8","1","0","2","0","3394","","","","14122","","","","","0","","","2","0","11048","","","1","71","88","-1","100","-1","98","-1","-1","100","26846","2524429","10","22","60","58","1","1","0","0","98","","","-1","","","","594","200","1446473","0","","","576483","11329","0","1","","896","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","791","10966","11370","2926","3167","13994","Google Chrome","41.0.2272.89","1","45","Akamai","0","3","0","6937",
"03/13/2015","11:13:28","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","13627","952","","40600","967699","4","8","56","49","3","2","0","2","0","6090","","","","17665","","","","","0","","","2","0","13627","","","1","74","92","-1","97","-1","100","-1","-1","100","9036","177932","1","2","8","7","1","0","0","0","97","","","-1","","","","1066","200","186030","4678","","","372703","10333","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1287","13550","14000","13352","13549","17292","Google Chrome","41.0.2272.89","1","41","Akamai","0","3","0","6937",
"03/13/2015","11:13:53","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","8102","1967","","48520","2212403","0","5","50","43","3","2","0","3","0","3566","","","","10258","","","","","0","","","2","0","8102","","","1","72","93","-1","100","-1","100","-1","-1","100","29305","943288","0","5","35","29","3","2","0","0","96","","","-1","","","","2122","200","192593","0","","","36620","1367","0","1","","1829","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","2763","6016","6809","3373","3610","7766","Google Chrome","41.0.2272.89","1","41","Akamai","0","3","0","6937",
"03/13/2015","11:14:13","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","6602","143","","45834","2197234","13","13","54","46","3","3","0","2","0","1689","","","","10925","","","","","0","","","2","0","6602","","","1","66","93","-1","100","-1","100","-1","-1","100","21078","1695391","5","4","30","28","0","2","0","0","98","","","-1","","","","286","200","670573","0","","","143205","1919","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","486","6467","7169","2338","2532","7889","Google Chrome","41.0.2272.89","1","41","Akamai","0","3","0","6937",
