"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"03/13/2015","07:28:01","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","5701","74","","59821","2738537","0","2","71","62","4","2","0","4","0","74","","","","9419","","","","","0","","","2","0","5701","","","1","75","95","-1","97","-1","100","-1","-1","100","33977","1213168","0","1","40","36","1","2","0","0","97","","","-1","","","","478","200","200976","4678","","","409323","11700","0","1","","1829","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","2561","5129","5725","2734","2946","5866","Google Chrome","41.0.2272.89","8","30","Amazon CloudFront","0","2","0","3307",
"03/13/2015","07:28:19","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","5976","944","","44760","2183585","8","13","54","46","3","3","0","2","0","2311","","","","9515","","","","","0","","","2","0","5976","","","1","65","93","-1","100","-1","100","-1","-1","100","19389","1194857","2","4","30","28","0","2","0","0","98","","","-1","","","","1008","200","670569","0","","","143205","1919","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","1208","5969","6721","2135","2416","8211","Google Chrome","41.0.2272.89","1","40","Akamai","0","2","0","3307",
"03/13/2015","07:28:41","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","2326","683","","21757","12628","5","5","21","13","4","2","0","2","0","780","","","","3505","","","","","0","","","2","0","2326","","","1","5","0","-1","100","-1","100","-1","-1","100","9638","3642","2","2","6","4","0","2","0","0","-1","","","-1","","","","683","200","2912","0","","","0","0","0","1","","894","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","277","2310","2680","726","831","2881","Google Chrome","41.0.2272.89","8","40","","0","2","0","3307",
"03/13/2015","07:28:52","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","1273","695","","18553","10577","2","1","18","12","2","2","0","2","0","788","","","","3147","","","","","0","","","2","0","1273","","","1","0","0","-1","100","-1","100","-1","-1","100","2160","2364","1","1","3","3","0","0","0","0","-1","","","-1","","","","695","200","2741","0","","","0","0","0","1","","1249","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","284","1229","1526","1099","1229","3587","Google Chrome","41.0.2272.89","12","40","","0","2","0","3307",
"03/13/2015","07:29:09","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","4196","785","","21708","19531","2","4","19","12","3","2","0","4","0","784","","","","4542","","","","","0","","","2","0","4196","","","1","0","0","-1","100","-1","100","-1","-1","100","6871","2975","1","4","17","10","3","2","0","0","-1","","","-1","","","","785","200","4631","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","282","2786","3660","830","1014","4685","Google Chrome","41.0.2272.89","12","40","","0","2","0","3307",
"03/13/2015","07:29:22","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","160","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","2","0","3307",
"03/13/2015","07:36:10","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","8738","704","","55398","2639314","29","47","97","86","8","1","0","2","0","4793","","","","13162","","","","","0","","","2","0","8738","","","1","71","88","-1","100","-1","98","-1","-1","100","22814","2095878","10","23","50","48","1","1","0","0","98","","","-1","","","","729","200","1447341","0","","","576483","11329","0","1","","897","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","890","8707","9285","4242","4561","12902","Google Chrome","41.0.2272.89","1","44","Akamai","0","3","0","4891",
"03/13/2015","07:36:31","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","3412","956","","38500","966905","4","8","56","49","3","2","0","2","0","1889","","","","7229","","","","","0","","","2","0","3412","","","1","74","92","-1","97","-1","100","-1","-1","100","6947","177133","1","2","8","7","1","0","0","0","97","","","-1","","","","993","200","186055","4678","","","372703","10333","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1286","3377","3765","2995","3188","7189","Google Chrome","41.0.2272.89","1","43","Akamai","0","3","0","4891",
"03/13/2015","07:36:46","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","0","0","","2465","0","0","0","1","0","0","0","0","1","99999","0","","","","0","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2465","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","-2","0","0","","","0","0","0","1","","45","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","1","43","","0","3","0","4891",
"03/13/2015","07:36:54","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","6403","202","","54521","2390015","10","19","62","52","4","3","0","4","99999","2489","","","","10719","","","","","0","","","2","0","6403","","","1","63","93","-1","100","-1","100","-1","-1","100","22099","1418115","2","7","32","29","0","2","0","0","98","","","-1","","","","1287","200","670551","0","","","143205","1919","0","1","","1858","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","486","6401","7145","2300","2545","9998","Google Chrome","41.0.2272.89","1","43","Akamai","0","3","0","4891",
