"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"04/02/2015","04:35:58","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","0","0","","2480","0","0","0","1","0","0","0","0","1","99999","0","","","","0","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2480","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","-2","0","0","","","0","0","0","1","","48","","","0","0","0","0","0","0","Google Chrome","41.0.2272.101","1","32","","0","2","0","1819",
"04/02/2015","04:36:06","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","9905","49","","65548","2883889","7","20","83","68","6","3","0","10","99999","947","","","","13911","","","","","0","","","2","0","9905","","","1","66","90","-1","100","-1","97","-1","-1","100","43377","2464183","2","10","58","49","3","2","0","0","100","","","-1","","","","50","200","655279","0","","","105162","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","2535","10187","11200","4267","4579","0","Google Chrome","41.0.2272.101","8","30","","0","2","0","1819",
"04/02/2015","04:36:30","","http://www.sony.co.uk/?perf=1427948796","2931","1131","","21875","10731","7","4","20","11","3","2","0","4","0","1484","","","","4563","","","","","0","","","2","0","2931","","","1","6","0","-1","100","-1","100","-1","-1","100","10235","3812","2","2","6","4","0","2","0","0","-1","","","-1","","","","1131","200","2490","0","","","0","0","0","1","","915","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","270","2880","3556","1214","1450","0","Google Chrome","41.0.2272.101","8","30","","0","2","0","1819",
"04/02/2015","04:36:43","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","2332","1571","","19424","11008","4","3","19","13","2","2","0","2","0","1782","","","","5949","","","","","0","","","2","0","2332","","","1","0","0","-1","100","-1","100","-1","-1","100","2139","2402","2","1","3","3","0","0","0","0","-1","","","-1","","","","1571","200","2759","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","283","2256","2776","2015","2256","0","Google Chrome","41.0.2272.101","11","30","","0","2","0","1819",
"04/02/2015","04:36:56","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","4611","1293","","28650","603090","1","2","33","16","3","2","0","12","0","1575","","","","7265","","","","","0","","","2","0","4611","","","1","63","66","-1","100","-1","100","-1","-1","100","7579","2971","0","0","6","3","1","2","0","0","-1","","","-1","","","","1293","200","3415","0","","","0","0","0","1","","1838","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","580","4431","5866","1364","1718","0","Google Chrome","41.0.2272.101","11","30","","0","2","0","1819",
"04/02/2015","04:37:11","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","5829","1163","","26169","30417","1","5","24","17","3","2","0","2","0","1533","","","","9971","","","","","0","","","2","0","5829","","","1","0","50","-1","100","-1","100","-1","-1","100","6773","3118","0","1","7","4","1","2","0","0","-1","","","-1","","","","1163","200","13085","0","","","0","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","0","6305","7422","1895","2222","0","Google Chrome","41.0.2272.101","11","30","","0","2","0","1819",
"04/02/2015","04:43:50","","http://www.sony.co.uk/?perf=1427948796","8822","618","","49691","2644908","23","42","91","82","6","1","0","2","0","3791","","","","12186","","","","","0","","","2","0","8822","","","1","72","88","-1","100","-1","98","-1","-1","100","25707","2549132","8","22","58","56","1","1","0","0","100","","","-1","","","","653","200","1453266","0","","","557719","0","0","1","","918","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","994","8816","9548","2936","3400","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","3","0","2006",
"04/02/2015","04:44:12","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","3317","493","","40342","877398","4","10","58","50","4","2","0","2","0","2576","","","","8236","","","","","0","","","2","0","3317","","","1","75","92","-1","96","-1","100","-1","-1","100","6942","177192","1","2","8","7","1","0","0","0","100","","","-1","","","","612","200","187286","5640","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","675","3262","3949","2939","3262","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","3","0","2006",
"04/02/2015","04:44:29","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","6454","963","","43768","2019641","0","6","49","42","3","2","0","2","0","2695","","","","10334","","","","","0","","","2","0","6454","","","1","75","93","-1","100","-1","100","-1","-1","100","21747","675778","0","4","19","17","0","2","0","0","100","","","-1","","","","1021","200","190011","0","","","28485","0","0","1","","1824","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","1483","6345","7702","2388","2822","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","3","0","2006",
"04/02/2015","04:44:47","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","7852","101","","43338","2128041","8","13","55","47","3","3","0","2","0","1986","","","","12199","","","","","0","","","2","0","7852","","","1","69","93","-1","100","-1","100","-1","-1","100","20953","1708329","2","4","30","28","0","2","0","0","100","","","-1","","","","141","200","652614","0","","","105162","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","583","7808","8704","1838","2197","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","3","0","2006",
